lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
FULLERTON,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,10584,
FULLERTON,1.MTD,Fresh,Flow1(Auto),2.0,Workable leads,,10584,
FULLERTON,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,9113,
FULLERTON,1.MTD,Fresh,Flow1(Auto),8.0,KYC completed,,7798,
FULLERTON,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,7214,
FULLERTON,1.MTD,Fresh,Flow2(Manual),2.0,Workable leads,,7214,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,6464,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,6464,
FULLERTON,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,6412,
FULLERTON,1.MTD,Fresh,Flow2(Manual),8.0,KYC completed,,5494,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,5113,
FULLERTON,1.MTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,4978,
FULLERTON,1.MTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,4916,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),2.0,Workable leads,,4913,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,4913,
FULLERTON,1.MTD,Fresh,Flow1(Auto),11.0,Review submit,,4474,
KSF,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,4314,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,4252,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,4183,
FULLERTON,1.MTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,4172,
FULLERTON,1.MTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,4113,
FULLERTON,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,4018,
FULLERTON,1.MTD,Renewal,Flow1(Auto),2.0,Workable leads,,4018,
FULLERTON,1.MTD,Fresh,Flow1(Auto),12.0,Mandate done,,3997,
FULLERTON,1.MTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,3986,
FULLERTON,1.MTD,Fresh,Flow2(Manual),11.0,Review submit,,3834,
KSF,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,3832,
KSF,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,3824,
FULLERTON,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,3772,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,3476,
KSF,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,3454,
FULLERTON,1.MTD,Renewal,Flow1(Auto),8.0,KYC completed,,3437,
FULLERTON,1.MTD,Fresh,Flow2(Manual),12.0,Mandate done,,3363,
FULLERTON,1.MTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,3360,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,2827,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,2827,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,2770,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,2765,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,2731,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,2720,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),2.0,Workable leads,,2661,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,2661,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),2.0,Workable leads,,2586,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,2586,
FULLERTON,1.MTD,Fresh,Flow2(Manual),14.0,Submit to LMS,,2574,
KSF,1.MTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,2530,
FULLERTON,1.MTD,Fresh,Flow1(Auto),8.1,KYC completed,BRE2_FAILURE,2519,32.3
FULLERTON,1.MTD,Fresh,Flow1(Auto),14.0,Submit to LMS,,2509,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),11.0,Review submit,,2468,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,2394,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),4.0,BRE1 completed,,2394,
KSF,2.LMTD,Fresh,Flow1(Auto),8.0,KYC completed,,2386,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,2374,
KSF,2.LMTD,Fresh,Flow2(Manual),8.0,KYC completed,,2354,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),4.0,BRE1 completed,,2338,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,2338,
FULLERTON,1.MTD,Fresh,Flow2(Manual),15.0,Disbursed,,2338,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),4.0,BRE1 completed,,2311,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,2311,
FULLERTON,1.MTD,Fresh,Flow1(Auto),15.0,Disbursed,,2253,
KSF,1.MTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,2202,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),12.0,Mandate done,,2125,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,2124,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),12.0,Mandate done,,2099,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),2.0,Workable leads,,2095,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,2095,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,2093,
KSF,2.LMTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,2001,
FULLERTON,1.MTD,Renewal,Flow1(Auto),9.0,BRE2 completed,,1970,
KSF,2.LMTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,1967,
FULLERTON,1.MTD,Renewal,Flow1(Auto),10.0,Disbursal acc verified,,1942,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),2.0,Workable leads,,1931,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,1931,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),2.0,Workable leads,,1927,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),6.0,Child_Lead_Created,,1927,
UCL,1.MTD,MicroML,Flow1(Auto),6.0,Child_Lead_Created,,1875,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),14.0,Submit to LMS,,1874,
KSF,2.LMTD,Fresh,Flow2(Manual),11.0,Review submit,,1869,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),4.0,BRE1 completed,,1857,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,1857,
FULLERTON,1.MTD,Renewal,Flow1(Auto),11.0,Review submit,,1807,
KSF,2.LMTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,1790,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),15.0,Disbursed,,1767,
KSF,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,1759,
KSF,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,1740,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,1712,
