lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
FULLERTON,Fresh,Flow1(Auto),6,Child_Lead_Created,10584,
FULLERTON,Fresh,Flow1(Auto),7,Selfie uploaded,9113,86.10
FULLERTON,Fresh,Flow1(Auto),8,KYC completed,7798,85.57
FULLERTON,Fresh,Flow2(Manual),6,Child_Lead_Created,7214,
FULLERTON,Fresh,Flow2(Manual),7,Selfie uploaded,6412,88.88
FULLERTON,Fresh,Flow2(Manual),8,KYC completed,5494,85.68
FULLERTON,Fresh,Flow1(Auto),9,BRE2 completed,4978,63.84
FULLERTON,Fresh,Flow1(Auto),10,Disbursal acc verified,4916,98.75
FULLERTON,Fresh,Flow1(Auto),11,Review submit,4474,91.01
FULLERTON,Fresh,Flow2(Manual),9,BRE2 completed,4172,75.94
FULLERTON,Fresh,Flow2(Manual),10,Disbursal acc verified,4113,98.59
FULLERTON,Renewal,Flow1(Auto),6,Child_Lead_Created,4018,
FULLERTON,Fresh,Flow1(Auto),12,Mandate done,3997,89.34
FULLERTON,Fresh,Flow1(Auto),13,Application submitted by user,3986,99.72
FULLERTON,Fresh,Flow2(Manual),11,Review submit,3834,93.22
FULLERTON,Renewal,Flow1(Auto),7,Selfie uploaded,3772,93.88
FULLERTON,Renewal,Flow1(Auto),8,KYC completed,3437,91.12
FULLERTON,Fresh,Flow2(Manual),12,Mandate done,3363,87.72
FULLERTON,Fresh,Flow2(Manual),13,Application submitted by user,3360,99.91
PIRAMAL,Fresh,Flow1(Auto),6,Child_Lead_Created,2661,
SHRIRAM,Fresh,Flow1(Auto),6,Child_Lead_Created,2586,
FULLERTON,Fresh,Flow2(Manual),14,Submit to LMS,2574,76.61
KSF,Fresh,Flow1(Auto),6,Child_Lead_Created,2530,
FULLERTON,Fresh,Flow1(Auto),14,Submit to LMS,2509,62.95
FULLERTON,Fresh,Flow2(Manual),15,Disbursed,2338,90.83
SHRIRAM,Fresh,Flow1(Auto),7,Selfie uploaded,2338,90.41
PIRAMAL,Fresh,Flow1(Auto),7,Selfie uploaded,2311,86.85
FULLERTON,Fresh,Flow1(Auto),15,Disbursed,2253,89.80
KSF,Fresh,Flow1(Auto),7,Selfie uploaded,2202,87.04
FULLERTON,Renewal,Flow1(Auto),9,BRE2 completed,1970,57.32
FULLERTON,Renewal,Flow1(Auto),10,Disbursal acc verified,1942,98.58
UCL,MicroML,Flow1(Auto),6,Child_Lead_Created,1875,
FULLERTON,Renewal,Flow1(Auto),11,Review submit,1807,93.05
KSF,Fresh,Flow2(Manual),6,Child_Lead_Created,1740,
FULLERTON,Renewal,Flow1(Auto),12,Mandate done,1697,93.91
FULLERTON,Renewal,Flow1(Auto),13,Application submitted by user,1695,99.88
FULLERTON,Renewal,Flow2(Manual),6,Child_Lead_Created,1687,
PIRAMAL,Fresh,Flow2(Manual),6,Child_Lead_Created,1643,
SHRIRAM,Fresh,Flow1(Auto),8,KYC completed,1635,69.93
FULLERTON,Renewal,Flow2(Manual),7,Selfie uploaded,1594,94.49
KSF,Fresh,Flow2(Manual),7,Selfie uploaded,1564,89.89
KSF,Renewal,Flow1(Auto),6,Child_Lead_Created,1504,
UCL,MicroML,Flow2(Manual),6,Child_Lead_Created,1496,
PIRAMAL,Fresh,Flow2(Manual),7,Selfie uploaded,1465,89.17
FULLERTON,Renewal,Flow2(Manual),8,KYC completed,1434,89.96
UCL,MicroML,Flow1(Auto),7,Selfie uploaded,1375,73.33
PIRAMAL,Fresh,Flow1(Auto),8,KYC completed,1364,59.02
SHRIRAM,Fresh,Flow2(Manual),6,Child_Lead_Created,1341,
SHRIRAM,Fresh,Flow1(Auto),9,BRE2 completed,1335,81.65
KSF,Fresh,Flow1(Auto),8,KYC completed,1316,59.76
